pais;industria;valor_importado
CUW;155 Maintenance and repair services n.i.e.;0.0
CXR;155 Maintenance and repair services n.i.e.;0.0
CYM;155 Maintenance and repair services n.i.e.;7.5
CYP;155 Maintenance and repair services n.i.e.;203.31600952148438
CZE;155 Maintenance and repair services n.i.e.;569.8690185546875
DEU;155 Maintenance and repair services n.i.e.;7774.1669921875
DJI;155 Maintenance and repair services n.i.e.;0.0
DMA;155 Maintenance and repair services n.i.e.;0.0
DNK;155 Maintenance and repair services n.i.e.;996.854736328125
DOM;155 Maintenance and repair services n.i.e.;0.0
DZA;155 Maintenance and repair services n.i.e.;0.0
ECU;155 Maintenance and repair services n.i.e.;0.0
EGY;155 Maintenance and repair services n.i.e.;176.5478057861328
ERI;155 Maintenance and repair services n.i.e.;0.0
ESH;155 Maintenance and repair services n.i.e.;0.0
ESP;155 Maintenance and repair services n.i.e.;938.4425659179688
EST;155 Maintenance and repair services n.i.e.;64.51800537109375
ETH;155 Maintenance and repair services n.i.e.;0.0
FIN;155 Maintenance and repair services n.i.e.;400.1519775390625
FJI;155 Maintenance and repair services n.i.e.;0.0
FLK;155 Maintenance and repair services n.i.e.;0.0
FRA;155 Maintenance and repair services n.i.e.;4679.75732421875
FRE;155 Maintenance and repair services n.i.e.;0.0
FRO;155 Maintenance and repair services n.i.e.;0.0
FSM;155 Maintenance and repair services n.i.e.;0.0
GAB;155 Maintenance and repair services n.i.e.;0.0
GBR;155 Maintenance and repair services n.i.e.;4182.13671875
GEO;155 Maintenance and repair services n.i.e.;0.0
GHA;155 Maintenance and repair services n.i.e.;0.0
GIB;155 Maintenance and repair services n.i.e.;0.0
GIN;155 Maintenance and repair services n.i.e.;0.0
GMB;155 Maintenance and repair services n.i.e.;0.0
GNB;155 Maintenance and repair services n.i.e.;0.0
GNQ;155 Maintenance and repair services n.i.e.;0.0
GRC;155 Maintenance and repair services n.i.e.;382.98504638671875
GRD;155 Maintenance and repair services n.i.e.;0.0
GRL;155 Maintenance and repair services n.i.e.;0.0
GTM;155 Maintenance and repair services n.i.e.;8.0
