supplier_country,industry,tariff,tariff_group,dependency_value,trade_value,region
CHN,Basic precious and non-ferrous metals,34,31-40%,0.0934119992123131,1647.47265625,ASIA
MKD,Basic precious and non-ferrous metals,33,31-40%,0.0,0.0,OTHER
CHE,Basic precious and non-ferrous metals,32,31-40%,0.0422917109281521,1494.1505126953125,OTHER
IDN,Basic precious and non-ferrous metals,32,31-40%,0.0021998661452957,0.0,ASIA
TWN,Basic precious and non-ferrous metals,32,31-40%,0.0012726857423738,0.0,ASIA
FJI,Basic precious and non-ferrous metals,32,31-40%,8.117282990771635e-05,0.0,OTHER
AGO,Basic precious and non-ferrous metals,32,31-40%,0.0,0.0,OTHER
ZAF,Basic precious and non-ferrous metals,31,31-40%,0.055049507334776,3155.859375,OTHER
LBY,Basic precious and non-ferrous metals,31,31-40%,0.0004495100506488,0.0,OTHER
MDA,Basic precious and non-ferrous metals,31,31-40%,0.0,0.0,OTHER
PAK,Basic precious and non-ferrous metals,30,21-30%,0.0001072996877034,0.0,OTHER
DZA,Basic precious and non-ferrous metals,30,21-30%,0.0,0.0,OTHER
NRU,Basic precious and non-ferrous metals,30,21-30%,0.0,0.0,OTHER
TUN,Basic precious and non-ferrous metals,28,21-30%,0.0,0.0,OTHER
IND,Basic precious and non-ferrous metals,27,21-30%,0.012465164289517898,667.8303833007812,OTHER
KAZ,Basic precious and non-ferrous metals,27,21-30%,0.0052623421748581,0.0,OTHER
KOR,Basic precious and non-ferrous metals,26,21-30%,0.0172514468763621,897.4766845703125,ASIA
JPN,Basic precious and non-ferrous metals,24,21-30%,0.0236025844061935,1306.230224609375,ASIA
MYS,Basic precious and non-ferrous metals,24,21-30%,0.0021285986177241,0.0,ASIA
BRN,Basic precious and non-ferrous metals,24,21-30%,0.0,0.0,ASIA
VUT,Basic precious and non-ferrous metals,23,21-30%,0.0,0.0,OTHER
NAM,Basic precious and non-ferrous metals,21,21-30%,0.0036089616434231,0.0,OTHER
CIV,Basic precious and non-ferrous metals,21,21-30%,0.0001541719407518,0.0,OTHER
DEU,Basic precious and non-ferrous metals,20,11-20%,0.0664731064155643,3594.433349609375,EU
ITA,Basic precious and non-ferrous metals,20,11-20%,0.0160745048154929,778.606201171875,EU
BEL,Basic precious and non-ferrous metals,20,11-20%,0.0126075519815578,589.4740600585938,EU
FRA,Basic precious and non-ferrous metals,20,11-20%,0.0115958637168081,561.367431640625,EU
NLD,Basic precious and non-ferrous metals,20,11-20%,0.0056976819434286,0.0,EU
ESP,Basic precious and non-ferrous metals,20,11-20%,0.0052524865667261,0.0,EU
POL,Basic precious and non-ferrous metals,20,11-20%,0.0029170815571657,0.0,EU
AUT,Basic precious and non-ferrous metals,20,11-20%,0.0026052877865954,0.0,EU
FIN,Basic precious and non-ferrous metals,20,11-20%,0.0018956926314104,0.0,EU
SWE,Basic precious and non-ferrous metals,20,11-20%,0.0016649846229828,0.0,EU
BGR,Basic precious and non-ferrous metals,20,11-20%,0.0014971942758182,0.0,EU
GRC,Basic precious and non-ferrous metals,20,11-20%,0.0008798028262912,0.0,EU
CZE,Basic precious and non-ferrous metals,20,11-20%,0.0007404068604572,0.0,EU
SVN,Basic precious and non-ferrous metals,20,11-20%,0.0004128886727322,0.0,EU
LUX,Basic precious and non-ferrous metals,20,11-20%,0.0003882058888367,0.0,EU
DNK,Basic precious and non-ferrous metals,20,11-20%,0.0003791128349131,0.0,EU
HUN,Basic precious and non-ferrous metals,20,11-20%,0.0003297186366231,0.0,EU
JOR,Basic precious and non-ferrous metals,20,11-20%,0.0001980471734023,0.0,OTHER
EST,Basic precious and non-ferrous metals,20,11-20%,0.0001938151208391,0.0,EU
PRT,Basic precious and non-ferrous metals,20,11-20%,3.676946829187389e-05,0.0,EU
CYP,Basic precious and non-ferrous metals,20,11-20%,0.0,0.0,EU
HRV,Basic precious and non-ferrous metals,20,11-20%,0.0,0.0,EU
IRL,Basic precious and non-ferrous metals,20,11-20%,0.0,0.0,EU
LTU,Basic precious and non-ferrous metals,20,11-20%,0.0,0.0,EU
LVA,Basic precious and non-ferrous metals,20,11-20%,0.0,0.0,EU
MLT,Basic precious and non-ferrous metals,20,11-20%,0.0,0.0,EU
ROU,Basic precious and non-ferrous metals,20,11-20%,0.0,0.0,EU
SVK,Basic precious and non-ferrous metals,20,11-20%,0.0,0.0,EU
NIC,Basic precious and non-ferrous metals,19,11-20%,0.0055760070681571,499.1732177734375,LATAM
PHL,Basic precious and non-ferrous metals,18,11-20%,0.0009257840941271,0.0,ASIA
ZWE,Basic precious and non-ferrous metals,18,11-20%,0.0003010851479903,0.0,OTHER
MWI,Basic precious and non-ferrous metals,18,11-20%,0.0,0.0,OTHER
ZMB,Basic precious and non-ferrous metals,17,11-20%,0.0026901433390528,0.0,OTHER
ISR,Basic precious and non-ferrous metals,17,11-20%,0.0,0.0,OTHER
NOR,Basic precious and non-ferrous metals,16,11-20%,0.001416822126831,0.0,OTHER
MOZ,Basic precious and non-ferrous metals,16,11-20%,0.0004398215049022,0.0,OTHER
VEN,Basic precious and non-ferrous metals,15,11-20%,4.460667910956501e-05,0.0,LATAM
NGA,Basic precious and non-ferrous metals,14,11-20%,0.0002246641376691,0.0,OTHER
TCD,Basic precious and non-ferrous metals,13,11-20%,0.0001167505430898,0.0,OTHER
GNQ,Basic precious and non-ferrous metals,13,11-20%,0.0,0.0,OTHER
CMR,Basic precious and non-ferrous metals,12,11-20%,0.0001793161068792,0.0,OTHER
COD,Basic precious and non-ferrous metals,11,11-20%,0.0028618499919803,0.0,OTHER
CHL,Basic precious and non-ferrous metals,10,0-10%,0.0489955549406135,2893.795654296875,LATAM
BRA,Basic precious and non-ferrous metals,10,0-10%,0.037757253402799,532.9952392578125,LATAM
GBR,Basic precious and non-ferrous metals,10,0-10%,0.0334604841809658,1399.9639892578125,OTHER
AUS,Basic precious and non-ferrous metals,10,0-10%,0.0166492479362229,915.9253540039062,OTHER
COL,Basic precious and non-ferrous metals,10,0-10%,0.0084486477640641,592.1609497070312,LATAM
TUR,Basic precious and non-ferrous metals,10,0-10%,0.0024873205669099,0.0,OTHER
SGP,Basic precious and non-ferrous metals,10,0-10%,0.0020652783534866,0.0,ASIA
LSO,Electronic valves tubes etc.,50,>40%,0.0,0.0,OTHER
KHM,Electronic valves tubes etc.,49,>40%,0.0,0.0,ASIA
LAO,Electronic valves tubes etc.,48,>40%,0.0,0.0,ASIA
MDG,Electronic valves tubes etc.,47,>40%,0.0,0.0,OTHER
