industry,dependent_country,supplier_country,dependency_value,direct_dependency,indirect_dependency,trade_value,optimal_length,tariff,tariff_group,region
Aircraft and spacecraft,USA,POL,0.0136852167737749,0.0100049199536442,0.0036802968201307,1220.4849853515625,2,20,11-20%,EU
Aircraft and spacecraft,USA,ESP,0.0061689948251635,0.0,0.0061689948251635,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,NLD,0.0030810212114019,0.0,0.0030810212114019,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,BEL,0.0028852530685556,0.0,0.0028852530685556,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,AUT,0.0011120053647391,0.0,0.0011120053647391,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,PRT,0.0005017061896898,0.0,0.0005017061896898,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,ROU,0.0003101832171895,0.0,0.0003101832171895,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,CZE,0.0001769473644464,0.0,0.0001769473644464,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,MLT,6.742696096128948e-05,0.0,6.742696096128948e-05,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,BGR,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,CYP,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,DNK,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,EST,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,FIN,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,GRC,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,HRV,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,HUN,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,IRL,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,JOR,0.0,0.0,0.0,0.0,2,20,11-20%,OTHER
Aircraft and spacecraft,USA,LTU,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,LUX,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,LVA,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,SVK,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,SVN,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,SWE,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Aircraft and spacecraft,USA,NIC,0.0,0.0,0.0,0.0,2,19,11-20%,LATAM
Aircraft and spacecraft,USA,MWI,0.0,0.0,0.0,0.0,2,18,11-20%,OTHER
Aircraft and spacecraft,USA,PHL,0.0,0.0,0.0,0.0,2,18,11-20%,ASIA
Aircraft and spacecraft,USA,ZWE,0.0,0.0,0.0,0.0,2,18,11-20%,OTHER
Aircraft and spacecraft,USA,ISR,0.0069768784273429,0.0064481794834136,0.0005286989439292,786.6036376953125,2,17,11-20%,OTHER
